station_id,city,province
STN_东湾,白银市,甘肃省
STN_东环,广州市,广东省
STN_东田良,长治市,山西省
STN_东胜,鄂尔多斯市,内蒙古自治区
STN_东胜东,鄂尔多斯市,内蒙古自治区
STN_东胜西,鄂尔多斯市,内蒙古自治区
STN_东至,池州市,安徽省
STN_东花园,张家口市,河北省
STN_东花园北,张家口市,河北省
STN_东莞,东莞市,广东省
STN_东莞东,东莞市,广东省
STN_东莞南,东莞市,广东省
STN_东莞港,东莞市,广东省
STN_东莞西,东莞市,广东省
STN_东营,东营市,山东省
STN_东营南,东营市,山东省
STN_东营子,朝阳市,辽宁省
STN_东辛庄,葫芦岛市,辽宁省
STN_东边井,绥化市,黑龙江省
STN_东通化,通化市,吉林省
STN_东镇,运城市,山西省
STN_东门,哈尔滨市,黑龙江省
STN_东阳关,长治市,山西省
STN_东阳北,金华市,浙江省
STN_东阳所,重庆市,重庆市
STN_东风,淄博市,山东省
STN_东风南,阿拉善盟,内蒙古自治区
STN_两家,白城市,吉林省
STN_两当,陇南市,甘肃省
STN_两所屯,安顺市,贵州省
STN_个旧,红河哈尼族彝族自治州,云南省
STN_丫口寨,临沧市,云南省
STN_中仓,北京市,北京市
STN_中仙,三明市,福建省
STN_中兴,丹东市,辽宁省
STN_中华寺,抚顺市,辽宁省
STN_中华门,南京市,江苏省
STN_中卫,中卫市,宁夏回族自治区
STN_中卫南,中卫市,宁夏回族自治区
STN_中原,郑州市,河南省
STN_中台子,赤峰市,内蒙古自治区
STN_中和,齐齐哈尔市,黑龙江省
STN_中嘴,重庆市,重庆市
STN_中堂,东莞市,广东省
STN_中宁,中卫市,宁夏回族自治区
STN_中宁东,中卫市,宁夏回族自治区
STN_中宁南,中卫市,宁夏回族自治区
STN_中寨,曲靖市,云南省
STN_中小所,鞍山市,辽宁省
STN_中山,中山市,广东省
STN_中山北,中山市,广东省
STN_中川机场,兰州市,甘肃省
STN_中川机场东,兰州市,甘肃省
STN_中德,长春市,吉林省
STN_中梁山,重庆市,重庆市
STN_中滩,昆明市,云南省
STN_中牟,郑州市,河南省
STN_中谊村,昆明市,云南省
STN_丰乐镇,双鸭山市,黑龙江省
STN_丰南,唐山市,河北省
STN_丰城,宜春市,江西省
